Year,Value,geo,month
1845,30.09,CA,M6
1846,45.15,CA,M6
1847,49.15,CA,M6
1848,39.52,CA,M6
1849,21.23,CA,M6
1850,8.42,CA,M6
1851,5.56,CA,M6
1852,5.08,CA,M6
1853,10.17,CA,M6
1854,19.60,CA,M6
1855,32.91,CA,M6
1856,34.38,CA,M6
1857,29.59,CA,M6
1858,21.30,CA,M6
1859,13.69,CA,M6
1860,7.65,CA,M6
1861,4.08,CA,M6
1862,4.09,CA,M6
1863,14.33,CA,M6
1864,38.22,CA,M6
1865,60.78,CA,M6
1866,70.77,CA,M6
1867,72.77,CA,M6
1868,42.68,CA,M6
1869,16.39,CA,M6
1870,9.83,CA,M6
1871,5.80,CA,M6
1872,5.26,CA,M6
1873,18.91,CA,M6
1874,30.95,CA,M6
1875,31.18,CA,M6
1876,46.34,CA,M6
1877,45.77,CA,M6
1878,44.15,CA,M6
1879,36.33,CA,M6
1880,12.03,CA,M6
1881,12.60,CA,M6
1882,18.34,CA,M6
1883,35.14,CA,M6
1884,43.77,CA,M6
1885,65.69,CA,M6
1886,79.35,CA,M6
1887,51.65,CA,M6
1888,32.59,CA,M6
1889,22.45,CA,M6
1890,16.16,CA,M6
1891,14.12,CA,M6
1892,20.38,CA,M6
1893,33.33,CA,M6
1894,46.00,CA,M6
1895,51.41,CA,M6
1896,46.43,CA,M6
1897,33.68,CA,M6
1898,18.01,CA,M6
1899,8.86,CA,M6
1900,7.13,CA,M6
1901,9.47,CA,M6
1902,14.86,CA,M6
1903,31.47,CA,M6
1904,60.57,CA,M6
1905,63.51,CA,M6
1906,54.70,CA,M6
1907,6.30,CA,M6
1908,3.41,CA,M6
1909,5.44,CA,M6
1910,11.65,CA,M6
1911,20.35,CA,M6
1912,32.88,CA,M6
1913,39.55,CA,M6
1914,43.36,CA,M6
1915,40.83,CA,M6
1916,30.36,CA,M6
1917,17.18,CA,M6
1918,6.82,CA,M6
1919,3.19,CA,M6
1920,3.52,CA,M6
1921,9.94,CA,M6
1922,20.30,CA,M6
1923,31.99,CA,M6
1924,42.36,CA,M6
1925,49.08,CA,M6
1926,53.99,CA,M6
1927,52.25,CA,M6
1928,37.70,CA,M6
1929,19.14,CA,M6
1930,6.98,CA,M6
1931,8.31,CA,M6
1932,16.01,CA,M6
1933,24.82,CA,M6
1934,29.70,CA,M6
1935,35.40,CA,M6
