Year,Value,month,geo
1845,19.58,M9,CA
1846,19.60,M9,CA
1847,19.61,M9,CA
1848,11.99,M9,CA
1849,28.04,M9,CA
1850,58.00,M9,CA
1851,74.60,M9,CA
1852,75.09,M9,CA
1853,88.48,M9,CA
1854,61.28,M9,CA
1855,74.67,M9,CA
1856,88.06,M9,CA
1857,68.51,M9,CA
1858,32.19,M9,CA
1859,12.64,M9,CA
1860,21.49,M9,CA
1861,30.35,M9,CA
1862,2.18,M9,CA
1863,152.65,M9,CA
1864,148.36,M9,CA
1865,85.81,M9,CA
1866,41.41,M9,CA
1867,14.75,M9,CA
1868,2.28,M9,CA
1869,5.91,M9,CA
1870,9.95,M9,CA
1871,10.44,M9,CA
1872,70.64,M9,CA
1873,50.12,M9,CA
1874,50.13,M9,CA
1875,101.25,M9,CA
1876,97.12,M9,CA
1877,86.51,M9,CA
1878,72.17,M9,CA
1879,38.32,M9,CA
1880,10.11,M9,CA
1881,7.74,M9,CA
1882,9.67,M9,CA
1883,43.12,M9,CA
1884,52.21,M9,CA
1885,134.85,M9,CA
1886,134.86,M9,CA
1887,103.79,M9,CA
1888,46.10,M9,CA
1889,15.03,M9,CA
1890,24.20,M9,CA
1891,41.65,M9,CA
1892,52.34,M9,CA
1893,53.78,M9,CA
1894,70.40,M9,CA
1895,85.81,M9,CA
1896,56.69,M9,CA
1897,16.59,M9,CA
1898,6.16,M9,CA
1899,2.30,M9,CA
1900,12.82,M9,CA
1901,4.72,M9,CA
1902,4.73,M9,CA
1903,37.22,M9,CA
1904,69.72,M9,CA
1905,57.78,M9,CA
1906,28.68,M9,CA
1907,23.37,M9,CA
1908,21.54,M9,CA
1909,26.34,M9,CA
1910,53.10,M9,CA
1911,68.48,M9,CA
1912,75.58,M9,CA
1913,57.92,M9,CA
1914,40.97,M9,CA
1915,24.95,M9,CA
1916,12.59,M9,CA
1917,4.97,M9,CA
1918,4.50,M9,CA
1919,11.21,M9,CA
1920,56.60,M9,CA
1921,69.63,M9,CA
1922,77.74,M9,CA
1923,80.53,M9,CA
1924,73.38,M9,CA
1925,36.93,M9,CA
1926,4.64,M9,CA
1927,2.54,M9,CA
1928,1.80,M9,CA
1929,2.39,M9,CA
1930,4.23,M9,CA
1931,19.52,M9,CA
1932,82.11,M9,CA
1933,89.76,M9,CA
1934,81.66,M9,CA
1935,15.76,M9,CA
